# Dataset 1
plant_1,23.5,20.0,32.5
plant_2,22.1,15.0,35.2
plant_3,25.4,18.0,29.8
plant_4,21.8,22.0,37.1
plant_5,24.2,19.5,31.8
plant_6,23.0,21.0,34.5
plant_7,22.5,17.5,30.2
plant_8,24.8,20.5,36.0

# Dataset 2
plant_1,23.8,20.5,33.0
plant_2,22.3,15.2,34.5
plant_3,25.1,18.2,30.5
plant_4,22.0,22.2,36.5
plant_5,24.5,19.8,32.2
plant_6,23.3,21.2,35.0
plant_7,22.8,17.8,30.8
plant_8,25.0,20.8,35.5

# Dataset 3
plant_1,24.0,21.0,33.8
plant_2,22.5,15.5,34.0
plant_3,24.8,18.5,31.5
plant_4,22.2,22.5,36.0
plant_5,24.8,20.0,32.5
plant_6,23.5,21.5,35.5
plant_7,23.0,18.0,31.2
plant_8,25.2,21.0,35.0

# Dataset 4
plant_1,24.2,21.5,34.5
plant_2,22.8,15.8,33.5
plant_3,24.5,19.0,32.0
plant_4,22.5,23.0,35.5
plant_5,25.0,20.2,33.0
plant_6,23.8,22.0,36.0
plant_7,23.3,18.5,31.8
plant_8,25.5,21.5,34.5

# Dataset 5
plant_1,24.5,22.0,35.0
plant_2,23.0,16.0,33.0
plant_3,24.2,19.5,32.5
plant_4,22.8,23.5,35.0
plant_5,25.2,20.5,33.5
plant_6,24.0,22.5,36.5
plant_7,23.5,19.0,32.2
plant_8,25.8,22.0,34.0

# Dataset 6
plant_1,24.8,22.5,35.5
plant_2,23.2,16.5,32.5
plant_3,24.0,20.0,33.0
plant_4,23.0,24.0,34.5
plant_5,25.5,21.0,34.0
plant_6,24.2,23.0,37.0
plant_7,23.8,19.5,32.8
plant_8,26.0,22.5,33.5

# Dataset 7
plant_1,25.0,23.0,36.0
plant_2,23.5,17.0,32.0
plant_3,23.8,20.5,33.5
plant_4,23.3,24.5,34.0
plant_5,25.8,21.5,34.5
plant_6,24.5,23.5,37.5
plant_7,24.0,20.0,33.2
plant_8,26.2,23.0,33.0

# Dataset 8
plant_1,25.2,23.5,36.5
plant_2,23.8,17.5,31.5
plant_3,23.5,21.0,34.0
plant_4,23.5,25.0,33.5
plant_5,26.0,22.0,35.0
plant_6,24.8,24.0,38.0
plant_7,24.3,20.5,33.8
plant_8,26.5,23.5,32.5

# Dataset 9
plant_1,25.5,24.0,37.0
plant_2,24.0,18.0,31.0
plant_3,23.2,21.5,34.5
plant_4,23.8,25.5,33.0
plant_5,26.2,22.5,35.5
plant_6,25.0,24.5,38.0
plant_7,24.5,21.0,34.2
plant_8,26.8,24.0,32.0

# Dataset 10
plant_1,25.8,24.5,37.5
plant_2,24.2,18.5,30.5
plant_3,23.0,22.0,35.0
plant_4,24.0,26.0,32.5
plant_5,26.5,23.0,36.0
plant_6,25.2,25.0,37.5
plant_7,24.8,21.5,34.8
plant_8,27.0,24.5,31.5

# Dataset 11
plant_1,26.0,25.0,38.0
plant_2,24.5,19.0,30.0
plant_3,22.8,22.5,35.5
plant_4,24.3,26.5,32.0
plant_5,26.8,23.5,36.5
plant_6,25.5,25.5,37.0
plant_7,25.0,22.0,35.2
plant_8,27.2,25.0,31.0

# Dataset 12
plant_1,26.2,25.5,37.8
plant_2,24.8,19.5,29.5
plant_3,22.5,23.0,36.0
plant_4,24.5,27.0,31.5
plant_5,27.0,24.0,37.0
plant_6,25.8,26.0,36.5
plant_7,25.3,22.5,35.8
plant_8,27.5,25.5,30.5
